sport;liga_id;liga_name;is_top;
Баскетбол;16675;NBA. Регулярный чемпионат;2;
Баскетбол;15666;Австралия. NBL;;
Баскетбол;3989;Австрия. ABL;;
Баскетбол;15465;Адриатическая лига;;
Баскетбол;3436477;Аргентина. LNB;;
Баскетбол;5466669;Аргентина. Torneo Super 20. 1/2 финала;;
Баскетбол;532685;Великобритания. BBL;;
Баскетбол;2905759;Венгрия. Лига NB I A;;
Баскетбол;15566;Германия. Бундеслига;;
Баскетбол;3322288;Греция. А1;;
Баскетбол;124919;Дания. Basketligaen;;
Баскетбол;2430571;Евролига. Регулярный сезон;2;
Баскетбол;566343;Единая лига ВТБ. Регулярный сезон;2;
Баскетбол;16117;Женщины. Австралия. WNBL;;
Баскетбол;3327663;Женщины. Венгрия. Лига NB I A;;
Баскетбол;15859;Женщины. Испания. LFB;;
Баскетбол;16009;Женщины. Турция. Суперлига. KBSL;;
Баскетбол;2883184;Женщины. Франция. LFB;;
Баскетбол;4067;Израиль. Суперлига;;
Баскетбол;126813;Исландия. Премьер-лига;;
Баскетбол;2855779;Испания. LEB Oro;;
Баскетбол;15679;Испания. Лига ACB;;
Баскетбол;3316888;Италия. Серия A;;
Баскетбол;10257;Италия. Серия A2;;
Баскетбол;3504691;Кипр. Дивизион A;;
Баскетбол;18582;Кубок Бельгии. 1/2 финала. Первые матчи;;
Баскетбол;18103;Кубок Греции. 1/2 финала;;
Баскетбол;11866;Литва. LKL;;
Баскетбол;18622;Польша. PLK;;
Баскетбол;18369;Португалия. LPB;;
Баскетбол;158704;Сербия. 1-я лига;;
Баскетбол;3337387;Турция. Суперлига. TBSL;;
Баскетбол;126143;Украина. Суперлига;;
Баскетбол;3833;Франция. Про A;;
Баскетбол;122708;Франция. Про B;;
Баскетбол;126811;Хорватия. Лига A1;;
Баскетбол;3309208;Чехия. 1-я лига;;
Баскетбол;1581190;Швеция. Баскетлиган;;
Баскетбол;4483276;Эстонско-Латвийская лига;;
Баскетбол;15611;Южная Корея. KBL;;
Волейбол;24176;Аргентина. Серия А1;;
Волейбол;3311235;Бельгия. Этиас-лига;;
Волейбол;3386534;Болгария. Суперлига;;
Волейбол;15493;Германия. Бундеслига;;
Волейбол;15828;Греция. Лига A1;;
Волейбол;3386538;Женщины. Болгария. Суперлига;;
Волейбол;3351675;Женщины. Бразилия. Суперлига;;
